subset,model,seed,window_size,max_rul,trigger_column,lead_time,maintenance_rate,early_maintenance_rate,late_maintenance_rate,missed_critical_rate,expected_cost,oracle_expected_cost,decision_regret,policy
FD002,random_forest,43,30,130,y_pred,10.0,0.05405405405405406,0.015444015444015444,0.04633204633204633,0.18146718146718147,4.147567567567567,0.08494208494208494,4.0626254826254815,mean
FD002,random_forest,43,30,130,y_pred,20.0,0.16988416988416988,0.007722007722007722,0.04247104247104247,0.06563706563706563,1.908030888030888,0.20463320463320464,1.7033976833976834,mean
FD002,random_forest,43,30,130,y_pred,30.0,0.21235521235521235,0.0,0.023166023166023165,0.023166023166023165,0.9073359073359073,0.23552123552123552,0.6718146718146718,mean
FD002,random_forest,43,30,130,y_pred,50.0,0.3127413127413127,0.03088803088803089,0.05791505791505792,0.007722007722007722,1.0532046332046334,0.33976833976833976,0.7134362934362936,mean
FD002,random_forest,44,30,130,y_pred,10.0,0.05405405405405406,0.015444015444015444,0.04633204633204633,0.18146718146718147,4.147567567567567,0.08494208494208494,4.0626254826254815,mean
FD002,random_forest,44,30,130,y_pred,20.0,0.17374517374517376,0.003861003861003861,0.03474903474903475,0.06177606177606178,1.756988416988417,0.20463320463320464,1.5523552123552125,mean
FD002,random_forest,44,30,130,y_pred,30.0,0.21235521235521235,0.003861003861003861,0.02702702702702703,0.02702702702702703,1.0236293436293435,0.23552123552123552,0.7881081081081082,mean
FD002,random_forest,44,30,130,y_pred,50.0,0.3127413127413127,0.03474903474903475,0.06177606177606178,0.007722007722007722,1.0942084942084942,0.33976833976833976,0.7544401544401544,mean
FD002,ridge,42,30,130,y_pred,10.0,0.07722007722007722,0.03474903474903475,0.04247104247104247,0.1583011583011583,3.6716602316602316,0.08494208494208494,3.586718146718147,mean
FD002,ridge,42,30,130,y_pred,20.0,0.12355212355212356,0.007722007722007722,0.0888030888030888,0.11196911196911197,3.251660231660232,0.20463320463320464,3.047027027027027,mean
FD002,ridge,42,30,130,y_pred,30.0,0.17374517374517376,0.007722007722007722,0.0694980694980695,0.0694980694980695,2.259227799227799,0.23552123552123552,2.0237065637065634,mean
FD002,ridge,42,30,130,y_pred,50.0,0.25868725868725867,0.003861003861003861,0.08494208494208494,0.007722007722007722,1.2627799227799228,0.33976833976833976,0.923011583011583,mean
FD002,ridge,43,30,130,y_pred,10.0,0.08108108108108109,0.03861003861003861,0.04247104247104247,0.15444015444015444,3.5984555984555984,0.08494208494208494,3.5135135135135136,mean
FD002,ridge,43,30,130,y_pred,20.0,0.1274131274131274,0.007722007722007722,0.08494208494208494,0.10810810810810811,3.13969111969112,0.20463320463320464,2.9350579150579152,mean
FD002,ridge,43,30,130,y_pred,30.0,0.17374517374517376,0.007722007722007722,0.0694980694980695,0.0694980694980695,2.259227799227799,0.23552123552123552,2.0237065637065634,mean
