subset,model,lead_time,policy,maintenance_rate_mean,maintenance_rate_std,early_maintenance_rate_mean,early_maintenance_rate_std,late_maintenance_rate_mean,late_maintenance_rate_std,missed_critical_rate_mean,missed_critical_rate_std,expected_cost_mean,expected_cost_std,oracle_expected_cost_mean,oracle_expected_cost_std,decision_regret_mean,decision_regret_std
FD002,gru,20.0,mean,0.17631917631917635,0.0044583032369855165,0.006435006435006435,0.0022291516184927635,0.03474903474903475,0.0038610038610038602,0.06048906048906049,0.002229151618492764,1.7341827541827541,0.0756730096974784,0.20463320463320464,0.0,1.5295495495495495,0.0756730096974785
FD002,gru,30.0,mean,0.22908622908622908,0.004458303236985544,0.009009009009009009,0.002229151618492763,0.015444015444015443,0.003861003861003861,0.015444015444015443,0.003861003861003861,0.693101673101673,0.1120032256203175,0.23552123552123552,0.0,0.4575804375804376,0.11200322562031753
FD002,gru,50.0,mean,0.32175032175032175,0.02512126292914172,0.023166023166023165,0.01337490971095658,0.04118404118404118,0.014617524699614609,0.001287001287001287,0.002229151618492764,0.7645559845559845,0.16659356088608024,0.33976833976833976,0.0,0.4247876447876448,0.16659356088608016
FD002,gru_safety_mse,10.0,mean,0.09137709137709138,0.012411390940788873,0.028314028314028312,0.004458303236985529,0.02187902187902188,0.0080373204612592,0.14414414414414414,0.012411390940788868,3.1944658944658944,0.3156013211865495,0.08494208494208494,0.0,3.1095238095238096,0.3156013211865499
FD002,gru_safety_mse,20.0,mean,0.19433719433719432,0.008037320461259196,0.01287001287001287,0.0022291516184927643,0.023166023166023165,0.006687454855478291,0.04504504504504505,0.008037320461259202,1.3283655083655084,0.2180472022756955,0.20463320463320464,0.0,1.123732303732304,0.21804720227569568
FD002,gru_safety_mse,30.0,mean,0.24839124839124838,0.008037320461259203,0.02059202059202059,0.0080373204612592,0.007722007722007723,0.0,0.007722007722007723,0.0,0.4831402831402831,0.009966277371961409,0.23552123552123552,0.0,0.24761904761904763,0.009966277371961436
FD002,gru_safety_mse,50.0,mean,0.3732303732303732,0.014617524699614623,0.05148005148005148,0.012411390940788872,0.018018018018018018,0.004458303236985526,0.0,0.0,0.5679794079794079,0.038750349940465514,0.33976833976833976,0.0,0.2282110682110682,0.03875034994046557
FD002,random_forest,10.0,mean,0.05148005148005148,0.004458303236985533,0.014157014157014156,0.0022291516184927635,0.047619047619047616,0.002229151618492765,0.18404118404118405,0.004458303236985544,4.2092406692406685,0.10682094555817372,0.08494208494208494,0.0,4.124298584298583,0.10682094555817372
FD002,random_forest,20.0,mean,0.17117117117117117,0.002229151618492775,0.005148005148005148,0.002229151618492764,0.03861003861003861,0.0038610038610038602,0.06435006435006435,0.002229151618492761,1.8446589446589445,0.07839816907199097,0.20463320463320464,0.0,1.64002574002574,0.0783981690719909
FD002,random_forest,30.0,mean,0.21235521235521235,0.0,0.001287001287001287,0.002229151618492764,0.02445302445302445,0.0022291516184927656,0.02445302445302445,0.0022291516184927656,0.9461003861003862,0.06714204674900201,0.23552123552123552,0.0,0.7105791505791506,0.0671420467490021
FD002,random_forest,50.0,mean,0.3088803088803089,0.006687454855478277,0.032175032175032175,0.002229151618492763,0.06306306306306307,0.00589778081718898,0.007722007722007723,0.0,1.1016473616473617,0.052558479078179975,0.33976833976833976,0.0,0.761879021879022,0.05255847907817993
FD002,ridge,10.0,mean,0.07850707850707851,0.002229151618492766,0.036036036036036036,0.002229151618492764,0.04247104247104247,0.0,0.157014157014157,0.002229151618492761,3.6472586872586867,0.0422647146866228,0.08494208494208494,0.0,3.5623166023166024,0.0422647146866228
FD002,ridge,20.0,mean,0.12483912483912485,0.0022291516184927583,0.007722007722007723,0.0,0.08751608751608753,0.002229151618492766,0.11068211068211069,0.0022291516184927583,3.2143371943371952,0.06464539693629008,0.20463320463320464,0.0,3.00970398970399,0.06464539693629008
FD002,ridge,30.0,mean,0.17374517374517376,0.0,0.007722007722007723,0.0,0.0694980694980695,0.0,0.0694980694980695,0.0,2.259227799227799,0.0,0.23552123552123552,0.0,2.0237065637065634,0.0
FD002,ridge,50.0,mean,0.25868725868725867,0.0,0.0038610038610038615,0.0,0.08494208494208494,0.0,0.007722007722007723,0.0,1.2627799227799228,0.0,0.33976833976833976,0.0,0.9230115830115831,0.0
FD002,tcn,10.0,mean,0.0501930501930502,0.034317352962608454,0.01673101673101673,0.022291516184927633,0.05148005148005148,0.013559399939321412,0.18532818532818532,0.03431735296260843,4.273075933075933,0.7779890256725503,0.08494208494208494,0.0,4.188133848133848,0.7779890256725501
FD002,tcn,20.0,mean,0.1866151866151866,0.019045879777282806,0.01287001287001287,0.005897780817188983,0.030888030888030885,0.013921047395613858,0.05148005148005148,0.014617524699614607,1.5265894465894465,0.4103236314497379,0.20463320463320464,0.0,1.321956241956242,0.41032363144973794
